wbid,wbtype,uid,batch
4163969059633357,comment,1140919270,2
4162802971572178,comment,1140919270,2
4162802971572178,comment,1793285030,2
4162802971572178,comment,1835074257,2
4162802971572178,comment,5734384979,2
4180825006821075,comment,1140919270,2
4180825006821075,comment,1140919270,2
4180825006821075,comment,1728834080,2
4180825006821075,comment,5682030205,2
4166118715380320,comment,1140919270,2
4166118715380320,comment,1857147483,2
4166118715380320,comment,1140919270,2
4166118715380320,comment,1140919270,2
4166118715380320,comment,5734384979,2
4166118715380320,comment,1140919270,2
4166118715380320,comment,1140919270,2
4166118715380320,comment,1883005004,2
4166118715380320,comment,1835074257,2
4166118715380320,comment,1918357267,2
4166118715380320,comment,1530509057,2
4166118715380320,comment,1140919270,2
4166118715380320,comment,1140919270,2
4166118715380320,comment,1140919270,2
4166118715380320,comment,1530509057,2
4166118715380320,comment,1883005004,2
4166118715380320,comment,2424435313,2
4166118715380320,comment,1140919270,2
4166118715380320,comment,2424435313,2
4166118715380320,comment,1140919270,2
4166118715380320,comment,1857147483,2
4166118715380320,comment,2424435313,2
4166118715380320,comment,1140919270,2
4166118715380320,comment,1086825105,2
4166118715380320,comment,1140919270,2
4180514606426164,repost,1741384337,2
4180514606426164,repost,1961568047,2
4180514606426164,repost,1838064995,2
4180514606426164,repost,1054254691,2
4180514606426164,repost,2424435313,2
4180514606426164,repost,1918357267,2
4180514606426164,repost,1917892997,2
4180514606426164,repost,1835074257,2
4180514606426164,repost,1857147483,2
4180514606426164,repost,2831167530,2
4180514606426164,repost,1952822757,2
4180514606426164,repost,1681121564,2
4180514606426164,repost,1290968245,2
4180514606426164,repost,1530509057,2
4190423586862734,repost,5520238092,2
4190423586862734,repost,1597713290,2
4190423586862734,repost,2941152563,2
4190423586862734,repost,2400521707,2
4190423586862734,repost,3627705620,2
4190423586862734,repost,1883005004,2
4190423586862734,repost,2875418612,2
4190423586862734,repost,2108605857,2
4190423586862734,repost,3767566233,2
4190423586862734,repost,2147457735,2
4190423586862734,repost,1857147483,2
4166118715380320,repost,1815491193,2
4166118715380320,repost,1290968245,2
4166118715380320,repost,1908622945,2
4166118715380320,repost,2941152563,2
4166118715380320,repost,1140919270,2
4169745043020925,like,3814685437,2
4169745043020925,like,5551698741,2
4169745043020925,like,2319901821,2
4169745043020925,like,2182528973,2
4169745043020925,like,5248052382,2
4169745043020925,like,5682030205,2
4169745043020925,like,1956646897,2
4169745043020925,like,5390100135,2
4169745043020925,like,3198216903,2
4169745043020925,like,5678336432,2
4169745043020925,like,1816081264,2
4169745043020925,like,3204244700,2
4169745043020925,like,1820470743,2
